a	一个
acidify	使酸化
acidimetry	酸度测定
acidity	酸度
acidly	尖刻地
acidophil	嗜酸性的
acidophile	嗜酸性生物
acidophilus	嗜酸乳杆菌
acidulate	使稍微酸化
acidulous	有点酸味的
acinus	小腺泡
ackee	阿基果
acknowledge	承认
acknowledgement	承认
acknowledgment	承认
acme	顶点
acne	痤疮
acolyte	助手
aconite	乌头
aconitum	乌头
acorn	橡子
acousma	听觉幻觉
acoustic	声学的
acoustical	声学的
acoustically	声学上地
acoustician	声学家
acquaint	熟悉
acquaintance	熟人
acquaintanceship	友谊
acquiesce	默许
acquiescence	默许
acquiescent	默认的
acquirable	可获得的
acquire	获得
acquirement	获得物
acquirer	收购者
acquisition	收购
acquisitive	贪得无厌的
acquisitiveness	贪得无厌
acquit	宣判无罪
acquittal	宣判无罪
acquittance	付款收据
acre	英亩
acreage	英亩数
acrid	刺鼻的
acridity	刺激性
acridness	刺激性
acrimonious	尖刻的
acrimony	尖刻
acrobat	杂技演员
acrobatic	杂技的
acrobatics	杂技
acrocephaly	尖头畸形
acrodont	尖齿类动物
acrogen	原生植物
acrolein	丙烯醛
acromegaly	肢端肥大症
acromion	肩峰
acronym	首字母缩略词
acrophobia	恐高症
acrophony	音位转移
acropolis	城堡
acrosome	顶体
across	穿过
acrostic	藏头诗
acrylamide	丙烯酰胺
acrylate	丙烯酸酯
acrylic	丙烯酸
acrylonitrile	丙烯腈
act	行动
actin	肌动蛋白
actinia	海葵
actinian	海葵
actinide	锕系元素
actinism	放射状分布
actinium	锕
actinoid	放射性元素
actinolite	须状石
actinometer	辐射计
actinometry	辐射测定法
actinomycete	放线菌
actinomycin	放线菌素
actinon	放射物
actinotherapy	放射线疗法
action	行动
actionable	可诉讼的
activate	激活
activation	激活
activator	催化剂
active	活跃的
actively	积极地
activeness	活跃
activism	激进主义
activist	激进分子
activity	活动
actomyosin	肌动蛋白
actor	演员
actress	女演员
actual	实际的
actuality	真实性
actualization	实现
actualize	实现
actually	实际上
actuarial	保险精算的
actuary	精算师
actuate	驱动
actuation	驱动
actuator	驱动器
acuity	敏锐度
acumen	敏锐
acuminate	渐尖的
acupressure	指压
acupuncture	针灸
acupuncturist	针灸师
acupuncturists	针灸师
acute	急性的
acutely	敏锐地
acuteness	敏锐度
acyclovir	阿昔洛韦
acyl	酰基
acylation	酰化
ad	广告
adage	格言
adagio	柔板的
adam	亚当
adamance	坚定不移
adamant	坚定的
adamantly	坚定地
adapt	适应
adaptability	适应性
adaptable	适应性强的
adaptation	适应
adapter	适配器
adaption	改编
adaptive	适应性的
adaptor	适配器
add	添加
addax	犀牛羚
addend	加数
addendum	附录
adder	蝰蛇
addict	上瘾者
addiction	上瘾
addictive	使人上瘾的
addition	加法
additional	附加的
additionally	此外
additive	添加剂
addle	使糊涂
address	地址
addressable	可寻址的
addressee	收件人
adduce	引证
adducer	引导者
adduct	引入
adduction	引入
adductor	引导肌
adenine	腺嘌呤
adenitis	腺炎
adenocarcinoma	腺癌
adenoid	腺样体
adenoidal	腺样的
adenoidectomy	腺样体切除术
adenoma	腺瘤
adenosine	腺苷
adenovirus	腺病毒
adept	熟练的
adeptly	熟练地
adeptness	熟练
adequacy	充分
adequate	充足的
adequately	充分地
adequateness	充分
adermin	维生素B6
adhere	黏附
adherence	黏附
adherent	黏附物
adhesion	黏附
adhesive	黏合剂
adhesiveness	黏性
adiabatic	绝热的
adieu	再见
adipose	脂肪的
adiposeness	脂肪
adiposity	肥胖
adit	矿井入口
adjacency	邻近
adjacent	邻近的
adjacently	邻近地
adjectival	形容词的
adjectivally	形容词地
adjective	形容词
adjoin	邻接
adjourn	休会
adjournment	休会
adjudge	裁定
adjudicate	裁决
adjudication	裁决
adjudicator	裁判员
adjunct	附属物
adjunction	连接
adjuration	恳求
adjure	起誓
adjust	调整
adjustable	可调整的
adjuster	调整器
adjustment	调整
adjustor	调整员
adjutant	副官
adjuvant	辅助物
adman	广告人
admass	大众广告
admeasure	测量
administer	管理
administrate	管理
administration	管理
administrative	行政的
administratively	行政上
administrator	管理员
admirability	赞美
admirable	令人钦佩的
admirableness	令人钦佩
admirably	令人钦佩地
admiral	海军上将
admiralty	海军部
admiration	钦佩
admire	钦佩
admirer	爱慕者
admiringly	钦佩地
admissibility	可接受性
admissible	可接受的
admission	入场费
admit	承认
admittance	准入
admittedly	公认地
admix	混合
admixture	混合物
admonish	劝告
admonisher	劝告者
admonishment	警告
admonition	劝告
admonitory	劝告的
adnoun	定语
ado	忙乱
adobe	泥砖
adobo	阿多波
adolesce	青春期
adolescence	青春期
adolescent	青少年
adopt	采用
adoptee	被收养者
adopter	领养人
adoption	领养
adoptive	收养的
adorability	可爱度
adorable	可爱的
adorableness	可爱性
adorably	可爱地
adoration	崇拜
adore	崇拜
adorer	崇拜者
adoringly	崇拜地
adorn	装饰
adornment	装饰品
adrenal	肾上腺的
adrenalectomy	肾上腺切除术
adrenalin	肾上腺素
adrenaline	肾上腺素
adrenocorticotrophin	肾上腺皮质激素
adrenocorticotropin	肾上腺皮质激素
adrift	漂泊的
adroit	熟练的
adroitly	熟练地
adroitness	熟练
adsorb	吸附
adsorbate	吸附物
adsorbent	吸附剂
adsorption	吸附
adulate	奉承
adulation	奉承
adulator	奉承者
adult	成年人
adulterant	掺假物
adulterate	掺假
adulteration	掺假
adulterator	掺假者
adulterer	通奸者
adulteress	通奸女
adulterous	通奸的
adultery	通奸
adulthood	成年
adumbrate	预示
adumbration	预示
advance	前进
advancement	进步
advancer	先进者
advantage	优势
advantageous	有利的
advantageously	有利地
advantageousness	优越性
advect	对流
advection	平流
advent	到来
adventist	基督复临安息日会教徒
adventitia	外膜
adventitious	外来的
adventure	冒险
adventurer	冒险家
adventuresome	喜欢冒险的
adventuress	女冒险家
adventurism	冒险主义
adventurous	喜欢冒险的
adventurously	大胆地
adventurousness	冒险精神
adverb	副词
adverbial	副词的
adversarial	对抗性的
adversary	对手
adverse	不利的
adversely	不利地
adversity	逆境
advert	广告
advertence	注意
advertency	警觉
advertise	广告宣传
advertisement	广告
advertiser	广告商
advertising	广告业
advertorial	广告性文章
advice	建议
advisability	明智性
advisable	明智的
advise	建议
advisedly	慎重地
advisee	受建议者
advisement	忠告
adviser	顾问
advisor	顾问
advisory	咨询的
advocacy	拥护
advocate	提倡者
advocator	拥护者
advowson	教堂预订权
adynamia	无力
adz	手斧
adze	扁斧
aeciospore	锈孢子
aecium	锈囊
aegis	保护
aeon	永恒
aepyornis	驼鸟
aerate	充气
aeration	通气
aerator	通气设备
aerial	天线
aerialist	空中杂技演员
aerie	鹰巢
aerify	使通气
aerobacter	厌氧菌
aerobatics	特技飞行
aerobe	厌氧生物
aerobic	有氧的
aerobics	有氧运动
aerodrome	飞机场
aerodynamic	空气动力学的
aerodynamically	空气动力学地
aerodynamics	空气动力学
aeroembolism	气栓症
aerogenerator	风力发电机
aerogram	航空邮件
aerolite	陨石
aerology	大气学
aeromedicine	航空医学
aeronaut	飞行员
aeronautical	航空的
aeronautics	航空学
aerophagia	吞气症
aerophyte	空气植物
aerosol	气溶胶
aerosolize	使成气溶胶
aerospace	航空航天
aery	鹰巢
aesthete	美学家
aesthetic	美学的
aesthetically	美学上地
aether	以太
afar	远处
affability	和蔼可亲
affable	和蔼可亲的
affably	和蔼可亲地
affair	事务
affaire	私事
affect	影响
affectation	做作
affectedness	做作
affection	感情
affectionate	深情的
affectionately	充满感情地
affectionateness	深情
affenpinscher	短毛猎狗
afferent	传入的
affiance	订婚
affiant	宣誓人
affidavit	宣誓书
affiliate	加入
affiliation	从属关系
affine	相关的
affinity	吸引力
affirm	断言
affirmation	肯定
affirmative	肯定的
affirmatively	肯定地
affirmer	断言者
affix	词缀
affixation	词缀法
afflatus	灵感
afflict	使痛苦
affliction	痛苦
affluence	富裕
affluent	富裕的
affluently	富裕地
afford	负担得起
affordable	负担得起的
afforest	造林
afforestation	造林
affranchise	给予选举权
affray	打斗
affricate	擦音
affrication	擦音化
affricative	擦音的
affright	使惊恐
affront	冒犯
affusion	浇灌
afghan	阿富汗毛毯
afghani	阿富汗货币
aficionado	狂热爱好者
afield	在野外
afire	着火的
aflame	着火的
aflatoxin	黄曲霉毒素
afloat	漂浮的
aflutter	激动的
afoot	在进行中
aforementioned	上述的
aforesaid	上述的
aforethought	考虑周到
afoul	纠缠
afraid	害怕
afresh	重新
african	非洲的
afro	非洲式发型
aft	船尾的
after	之后
afterbirth	胎盘
afterburner	加力燃烧器
aftercare	术后护理
afterdamp	矿井尾气
afterdeck	船尾甲板
aftereffect	后果
afterglow	余晖
afterimage	残像
afterlife	来世
afterlives	来世
aftermath	后果
afternoon	下午
afterpiece	戏剧的尾声
aftersensation	后感
aftershaft	羽毛的后轴
aftershave	须后水
aftershaves	须后水
aftershock	余震
aftertaste	余味
afterthought	后来的想法
afterward	后来
afterwards	后来
afterword	后记
afterwords	后记
afterworld	来世
again	再次
against	对抗
agalactia	无乳症
agama	龙头蜥蜴
agamete	无配子
agamid	蜥蜴科动物
agammaglobulinemia	无丙球蛋白血症
agapanthus	非洲蓝百合
agape	张开的
agar	琼脂
agaric	伞菌
agate	玛瑙
agateware	玛瑙陶器
agave	龙舌兰
age	年龄
agedness	老化
ageing	变老
ageism	年龄歧视
ageless	不老的
agelessness	不老的状态
agency	代理机构
agenda	议程
agendum	待办事项
agene	无性繁殖的
agenesia	无生殖能力
agenize	使无性繁殖
agent	代理人
agglomerate	凝聚
agglomeration	凝聚体
agglomerator	凝聚剂
agglutinate	粘合
agglutination	凝集
agglutinin	凝集素
agglutinogen	凝集原
aggrade	堆积
aggrandize	夸大
aggrandizement	夸大
aggravate	加重
aggravation	加重
aggravator	加重者
aggregate	聚集
aggregation	聚集体
aggregator	聚合器
aggress	进攻
aggression	进攻
aggressive	侵略性的
aggressively	侵略地
aggressiveness	侵略性
aggressor	侵略者
aggrieve	使悲痛
aggro	激烈的争吵
agha	阿加【土耳其贵族头衔】
aghast	吓呆的
agile	敏捷的
agilely	敏捷地
agility	敏捷
aging	老化
agio	汇兑差价
agiotage	短期投机
agism	年龄歧视
agitate	煽动
agitation	煽动
agitator	煽动者
agitprop	宣传机构
agleam	闪闪发光的
aglet	【衣服上的】绳头
aglitter	闪闪发光的
aglow	发光
agnail	指甲囊肿
agnate	同宗的
agnation	同宗的
agnize	承认
agnomen	别名
agnosia	失认症
agnostic	不可知论者
agnosticism	不可知论
ago	以前
agog	兴奋的
agon	拉力
agonist	激动剂
agonize	苦苦思索
agonizingly	令人痛苦地
agony	痛苦
agora	集市
agoraphobia	广场恐惧症
agouti	鼠兔
agraphia	失书症
agrarian	农业的
agrarians	农民
agree	同意
agreeability	适合
agreeable	令人愉快的
agreeableness	宜人
agreeably	愉快地
agreement	协议
agribusiness	农业企业
agricultural	农业的
agriculturalist	农学家
agriculture	农业
agriculturist	农学家
agrimony	苦艾
agrobiology	农业生物学
agrology	土壤学
agronomist	农学家
agronomy	农学
aground	搁浅的
agrypnia	失眠
aguacate	牛油果
ague	寒战
agueweed	寒战草
aha	啊哈
ahead	在前面
ahem	咳嗽声
ahimsa	非暴力
ahoy	喂
aid	帮助
aide	助手
aiglet	穿线管
aigret	鹭羽
aigrette	鹭羽
aikido	合气道
ail	生病
ailanthus	臭椿
aileron	副翼
ailment	疾病
ailurophobia	猫恐惧症
aim	目标
aimless	无目标的
aimlessly	漫无目的地
aimlessness	无目标
aioli	蒜泥蛋黄酱
air	空气
airborne	空降的
airbrush	喷枪
airburst	空爆
airbus	空中客车
aircraft	飞机
aircraftman	飞行员
aircraftsman	飞行员
aircrew	机组人员
aircrewman	机组人员
airdrome	飞机场
airdrop	空投
airdropped	空投的
airdropping	空投
airedale	英国梗
airfare	机票费
airfield	飞机场
airflow	气流
airfoil	翼型
airframe	机身
airfreight	空运货物
airgun	气枪
airhead	气傻
airily	轻松地
airiness	通风性
airing	播放
airless	无空气的
airlift	空运
airline	航空公司
airliner	客机
airlock	气闸
airmail	航空邮件
airman	空军士兵
airmanship	飞行技术
airplane	飞机
airport	机场
airpost	航空邮件
airscrew	螺旋桨
airship	飞艇
airsick	晕机的
airsickness	晕机
airspace	空域
airspeed	空速
airstream	气流
airstrip	飞机跑道
airt	寻找
airtight	密封的
airwave	无线电波
airway	气道
airwoman	女飞行员
airworthier	更适于飞行的
airworthiest	最适于飞行的
airworthiness	适航性
airworthy	适于飞行的
airy	通风的
aisle	过道
aitchbone	脊骨
ajar	半开的
ajuga	紫苏属植物
akaryote	无细胞核生物
akee	龙眼果
akimbo	双手叉腰的
akin	相似的
akinesia	运动不能症
akka	印度橡胶树
ala	翼
alabamian	阿拉巴马州人
alabaster	雪花石膏
alacrity	敏捷
alalia	失语症
alamo	阿拉莫
alanine	丙氨酸
alarm	警报
alarmingly	令人担忧地
alarmism	杞人忧天
alarmist	杞人忧天者
alaska	阿拉斯加
alaskan	阿拉斯加的
alastrim	痘疹
alb	教士袍
albacore	长鳍金枪鱼
albanian	阿尔巴尼亚人
albatross	信天翁
albeit	尽管
albert	阿尔伯特
albinism	白化病
albino	白化病人
albite	长石
albizia	合欢
albizzia	合欢
albugo	白霜病
album	专辑
albumen	蛋白
albumin	白蛋白
albuminoid	蛋白样物质
albuminuria	蛋白尿
alcahest	万能溶剂
alcaic	阿尔卡伊克诗
alcalde	市长
alcazar	堡垒
alchemist	炼金术士
alchemize	炼金术化
alchemy	炼金术
alcohol	酒精
alcoholic	酒精的
alcoholism	酒精中毒
alcoholize	加入酒精
alcove	凹室
aldehyde	醛
alder	赤杨树
alderfly	赤杨蛉
alderman	市议员
alderwoman	女市议员
alderwomen	女市议员
aldohexose	醛基己糖
aldol	醛醇
aldose	醛糖
aldosterone	醛固酮
aldosteronism	醛固酮增多症
ale	麦芽酒
alecost	麦芽酒
alehouse	酒馆
alembic	馏头
aleph	阿列夫
alert	警觉的
alertly	警觉地
alertness	警觉
aleurone	胚乳
aleutian	阿留申群岛的
alewife	鲱鱼
alexander	亚历山大
alexandrine	亚历山大诗
alexandrite	亚历山大石
alexia	失读症
alfalfa	紫花苜蓿
alfilaria	线叶蓼
alfileria	针织品
alfresco	户外的
alga	藻类
algae	藻类
algarroba	刺槐
algebra	代数
algebraic	代数的
algebraically	代数地
algebraist	代数学家
algerian	阿尔及利亚的
algidity	寒冷
algin	藻酸盐
algolagnia	性虐待狂
algology	藻类学
algometer	痛觉计
algometry	痛觉测定
algonquian	阿尔冈昆语系
algonquin	阿尔冈昆人
algophobia	疼痛恐惧症
algorism	算术
algorithm	算法
algorithmic	算法的
alias	别名
aliased	别名的
aliasing	别名化
alibi	不在场证明
alidad	视线仪
alidade	视线仪
alien	外来的
alienable	可转让的
alienage	外国人身份
alienate	疏远
alienation	疏远
alienator	疏远者
alienee	受让人
alienism	精神病学
alienist	精神病医生
alienor	转让人
alight	着陆
align	对齐
alignment	对准
alike	相似的
alikeness	相似
aliment	食物
alimentary	消化的
alimentation	饮食
alimony	赡养费
aline	排列
alinement	排列
aliquot	等分的
alisma	菟丝子
alit	着陆
aliterate	不识字的
alive	活着的
aliveness	活力
aliyah	移民
alizarin	茜素
alizarine	茜素
alkahest	万能溶剂
alkali	碱
alkalify	使碱性
alkalimetry	碱度测定
alkaline	碱性的
alkalinity	碱度
alkalinize	使碱化
alkalize	使碱化
alkaloid	生物碱
alkane	烷烃
alkanet	紫草
alkene	烯烃
alky	烷基
alkyd	醇酸树脂
alkyl	烷基
alkylbenzenesulfonate	烷基苯磺酸盐
alkyne	炔烃
all	所有的
allamanda	黄蝴蝶花
allantois	尿囊
allay	减轻
allayer	平息者
allegation	指控
allege	断言
allegedly	据称
allegheny	阿勒格尼
allegiance	忠诚
allegorical	寓言的
allegorically	寓言地
allegorize	寓言化
allegorizer	寓言者
allegory	寓言
allegretto	小快板
allegro	快板
allele	等位基因
allelomorph	等位基因
alleluia	阿利路亚
alleluias	阿利路亚
allemande	德国舞曲
allergen	过敏原
allergenic	过敏的
allergic	过敏的
allergist	过敏症专家
allergy	过敏
alleviate	缓解
alleviation	缓解
alleviator	缓解者
alley	小巷
alleyway	小巷
alliance	联盟
allice	鳕鱼
alligator	短吻鳄
alligatorfish	短吻鳄鱼
allis	阿利斯
alliterate	押头韵
alliteration	头韵
alliterative	头韵的
allium	葱属植物
allmouth	大嘴
alloantibody	异种抗体
allocate	分配
allocation	分配
allocator	分配器
allocution	演说
allogamy	异配子
allograft	异体移植
allograph	异体移植物
allomerism	异构现象
allometry	等比生长
allomorph	异形态
allopathy	对症治疗
allopatry	异域分布
allophone	异音
allopurinol	利尿抗痛风药
allosaur	异特龙
allosaurus	异特龙
allot	分配
allotment	分配
allotrope	同素异形体
allotropism	同素异形现象
allotropy	同素异形性
allover	整体花纹
allow	允许
allowable	可允许的
allowance	津贴
alloy	合金
allspice	甘草
allude	暗示
allure	吸引
allurement	诱惑
allusion	暗示
allusive	暗示的
allusively	含蓄地
allusiveness	含蓄
alluvial	冲积的
alluvion	冲积物
alluvium	冲积土
ally	盟友
allyl	烯丙基
almanac	年鉴
almandine	石榴石
almandite	石榴石
almighty	全能的
almond	杏仁
almoner	施舍者
almost	几乎
alms	施舍
almsgiver	施舍者
almsgiving	施舍
alnico	铝镍钴磁体
alocasia	芋艿
aloe	芦荟
aloft	在高处
aloha	阿罗哈
alone	单独的
aloneness	孤独
along	沿着
alongside	在旁边
aloof	冷漠的
aloofness	冷漠
alopecia	脱发
aloud	大声地
alpaca	羊驼
alpenstock	登山杖
alpha	阿尔法
alphabet	字母表
alphabetic	字母的
alphabetical	字母顺序的
alphabetically	按字母顺序地
alphabetization	字母排序
alphabetize	按字母顺序排列
alphabetizer	字母排序器
alphanumeric	字母数字的
alpine	高山的
alpinism	登山运动
alpinist	登山者
already	已经
alright	好的
also	也
alstroemeria	孔雀草
altar	祭坛
altarpiece	祭坛画
altazimuth	地平仪
alter	改变
alterability	可改变性
alterable	可改变的
alteration	改变
altercate	争论
altercation	争吵
alternate	交替的
alternately	交替地
alternation	交替
alternative	另类的
alternatively	或者
alternator	交流发电机
althea	蜀葵
altho	虽然
although	虽然
altimeter	高度计
altitude	高度
alto	女低音
altocumulus	积云层
altogether	完全地
altoist	女低音演奏者
altostratus	层积云
altruism	利他主义
altruist	利他主义者
altruistic	利他的
altruistically	利他地
alula	翼突
alum	明矾
alumina	氧化铝
aluminate	铝酸盐
aluminize	铝化
aluminum	铝
alumna	女校友
alumnus	男校友
alumroot	龙胆泻
alveolar	齿槽的
alveolitis	肺泡炎
alveolus	肺泡
always	总是
alyssum	金花菜属
amadavat	红文鸟
amah	保姆
amalgam	汞合金
amalgamate	合并
amalgamation	合并
amalgamator	汞合金制造者
amanita	鹅膏菌
amanuensis	抄写员
amaranth	苋菜
amarelle	苦樱桃
amaretto	杏仁酒
amarillo	阿马里洛辣椒
amaryllis	孤挺花
amass	积聚
amateur	业余爱好者
amateurish	业余的
amateurishness	业余水平
amateurism	业余主义
amativeness	性欲
amatory	恋爱的
amaze	使惊讶
amazement	惊讶
amazingly	令人惊讶地
amazon	亚马逊
ambage	迂回曲折的表达
ambassador	大使
ambassadorial	大使的
ambassadorship	大使职位
ambassadress	女大使
amber	琥珀
amberfish	琥珀鱼
ambergris	龙涎香
amberjack	黄尾鲈鱼
ambiance	氛围
ambidexterity	双手灵巧
ambidextrous	双手灵巧的
ambidextrously	双手灵巧地
ambidextrousness	双手灵巧
ambience	氛围
ambient	周围的
ambiguity	含糊不清
ambiguous	含糊不清的
ambiguously	含糊地
ambit	范围
ambition	抱负
ambitious	有抱负的
ambitiously	有雄心地
ambitiousness	雄心
ambivalence	矛盾心理
ambivalency	矛盾心理
ambivalent	矛盾的
ambivalently	矛盾地
ambiversion	性格外向
amble	漫步
ambler	漫步者
amblygonite	石莲花石
amblyopia	弱视
ambo	讲道坛
amboyna	东印度木材
ambrosia	神仙食品
ambulacrum	水管
ambulance	救护车
ambulate	走动
ambulation	步行
ambulatory	步行的
ambuscade	埋伏
ambush	埋伏
ambusher	埋伏者
ameba	阿米巴
amebic	阿米巴的
ameer	酋长
amelia	缺肢
ameliorate	改善
amelioration	改善
ameloblast	牙本质细胞
amen	阿门
amenability	顺从
